question,tsne1,tsne2,question_type,question_type_id,kmeans_k6,dbscan_e2_s7
What is (are) Nausea and vomiting - adults ?,-50.85858,-7.5475006,information,6,3,-1
What causes Nausea and vomiting - adults ?,-50.85859,-7.5475006,causes,0,3,-1
Do I need to see a doctor for Nausea and vomiting - adults ?,-50.858585,-7.5475,contact_medical_professional,2,3,-1
What is the outlook for Nausea and vomiting - adults ?,-50.858585,-7.5475006,outlook,8,3,-1
Do you have information about Serotonin blood test,3.3869748,6.579241,information,6,0,0
Do you have information about Types of ileostomy,65.022354,60.704647,information,6,1,127
Do you have information about Ileostomy - changing your pouch,-1.3803568,-2.0059335,information,6,0,0
What is (are) Carpal tunnel biopsy ?,-33.012367,95.34917,information,6,4,-1
Do you have information about Protein electrophoresis - urine,-2.436513,-0.80124927,information,6,0,0
What is (are) Group B streptococcal septicemia of the newborn ?,76.9811,-52.180874,information,6,2,128
What causes Group B streptococcal septicemia of the newborn ?,76.981094,-52.180874,causes,0,2,128
What are the symptoms of Group B streptococcal septicemia of the newborn ?,76.981094,-52.180874,symptoms,10,2,128
How to diagnose Group B streptococcal septicemia of the newborn ?,76.9811,-52.180874,exams_tests,3,2,128
What are the treatments for Group B streptococcal septicemia of the newborn ?,76.981094,-52.180874,treatment,11,2,128
What is the outlook for Group B streptococcal septicemia of the newborn ?,76.981094,-52.180874,outlook,8,2,128
What are the complications of Group B streptococcal septicemia of the newborn ?,76.9811,-52.180874,complications,1,2,128
Do I need to see a doctor for Group B streptococcal septicemia of the newborn ?,76.981094,-52.180874,contact_medical_professional,2,2,128
How to prevent Group B streptococcal septicemia of the newborn ?,76.981094,-52.180874,prevention,9,2,128
Do you have information about Peripheral intravenous line - infants,-1.2102938,-15.159769,information,6,0,0
Do you have information about Myocardial biopsy,-7.0501842,5.590979,information,6,0,0
Do you have information about Lepromin skin test,-4.3699713,-8.525845,information,6,0,0
What is (are) Swimmer's ear ?,68.620346,26.67535,information,6,2,129
What causes Swimmer's ear ?,68.620346,26.675352,causes,0,2,129
What are the symptoms of Swimmer's ear ?,68.620346,26.675348,symptoms,10,2,129
How to diagnose Swimmer's ear ?,68.620346,26.67535,exams_tests,3,2,129
What are the treatments for Swimmer's ear ?,68.620346,26.67535,treatment,11,2,129
What is the outlook for Swimmer's ear ?,68.620346,26.67535,outlook,8,2,129
What are the complications of Swimmer's ear ?,68.620346,26.67535,complications,1,2,129
Do I need to see a doctor for Swimmer's ear ?,68.62035,26.675354,contact_medical_professional,2,2,129
How to prevent Swimmer's ear ?,68.620346,26.67535,prevention,9,2,129
Do you have information about Knee MRI scan,-12.754869,-7.107745,information,6,0,0
What is (are) Neonatal conjunctivitis ?,47.86509,-14.048642,information,6,2,130
What causes Neonatal conjunctivitis ?,47.864998,-14.048364,causes,0,2,130
What are the symptoms of Neonatal conjunctivitis ?,47.865124,-14.048448,symptoms,10,2,130
How to diagnose Neonatal conjunctivitis ?,47.864998,-14.048364,exams_tests,3,2,130
What are the treatments for Neonatal conjunctivitis ?,47.865047,-14.048401,treatment,11,2,130
What is the outlook for Neonatal conjunctivitis ?,47.86494,-14.048308,outlook,8,2,130
What are the complications of Neonatal conjunctivitis ?,47.86583,-14.04855,complications,1,2,130
Do I need to see a doctor for Neonatal conjunctivitis ?,47.87084,-14.051308,contact_medical_professional,2,2,130
How to prevent Neonatal conjunctivitis ?,47.864944,-14.048307,prevention,9,2,130
What is (are) Premature rupture of membranes ?,12.068482,104.06215,information,6,1,-1
What is (are) Arrhenoblastoma of ovary ?,-37.551723,50.115253,information,6,4,131
What causes Arrhenoblastoma of ovary ?,-37.551735,50.115257,causes,0,4,131
What are the symptoms of Arrhenoblastoma of ovary ?,-37.55173,50.115257,symptoms,10,4,131
How to diagnose Arrhenoblastoma of ovary ?,-37.55173,50.115257,exams_tests,3,4,131
What are the treatments for Arrhenoblastoma of ovary ?,-37.55173,50.115257,treatment,11,4,131
What is the outlook for Arrhenoblastoma of ovary ?,-37.551735,50.115257,outlook,8,4,131
What are the complications of Arrhenoblastoma of ovary ?,-37.55173,50.115257,complications,1,4,131
Do I need to see a doctor for Arrhenoblastoma of ovary ?,-37.551727,50.11525,contact_medical_professional,2,4,131
How to prevent Arrhenoblastoma of ovary ?,-37.55173,50.115257,prevention,9,4,131
Do you have information about Virtual colonoscopy,-1.3685373,-2.0043123,information,6,0,0
Do you have information about Culture - duodenal tissue,-1.1334599,-4.9691257,information,6,0,0
What is (are) Food allergy ?,-2.927803,70.904816,information,6,1,132
What causes Food allergy ?,-2.927803,70.904816,causes,0,1,132
What are the symptoms of Food allergy ?,-2.927803,70.90482,symptoms,10,1,132
How to diagnose Food allergy ?,-2.9278028,70.904816,exams_tests,3,1,132
What are the treatments for Food allergy ?,-2.927803,70.90482,treatment,11,1,132
What is the outlook for Food allergy ?,-2.927803,70.904816,outlook,8,1,132
What are the complications of Food allergy ?,-2.927803,70.90482,complications,1,1,132
Do I need to see a doctor for Food allergy ?,-2.9278028,70.90481,contact_medical_professional,2,1,132
How to prevent Food allergy ?,-2.9278033,70.904816,prevention,9,1,132
Do you have information about Medication safety: Filling your prescription,91.95435,-42.871807,information,6,2,-1
Do you have information about When your child's treatment stops working,9.811424,-8.760653,information,6,0,0
What is (are) Chronic fatigue syndrome ?,83.51178,-28.008018,information,6,2,133
What causes Chronic fatigue syndrome ?,83.513016,-28.010254,causes,0,2,133
What are the symptoms of Chronic fatigue syndrome ?,83.51602,-28.010471,symptoms,10,2,133
How to diagnose Chronic fatigue syndrome ?,83.51607,-28.010475,exams_tests,3,2,133
What are the treatments for Chronic fatigue syndrome ?,83.51603,-28.010473,treatment,11,2,133
What is the outlook for Chronic fatigue syndrome ?,83.51608,-28.010473,outlook,8,2,133
What are the complications of Chronic fatigue syndrome ?,83.5161,-28.010473,complications,1,2,133
Do I need to see a doctor for Chronic fatigue syndrome ?,83.51643,-28.010523,contact_medical_professional,2,2,133
What is (are) Short bowel syndrome ?,53.464397,-10.719801,information,6,2,134
What causes Short bowel syndrome ?,53.464397,-10.719801,causes,0,2,134
What are the symptoms of Short bowel syndrome ?,53.464672,-10.719844,symptoms,10,2,134
How to diagnose Short bowel syndrome ?,53.464394,-10.7198,exams_tests,3,2,134
What are the treatments for Short bowel syndrome ?,53.464394,-10.719801,treatment,11,2,134
What is the outlook for Short bowel syndrome ?,53.464394,-10.719801,outlook,8,2,134
What are the complications of Short bowel syndrome ?,53.464394,-10.719801,complications,1,2,134
Do I need to see a doctor for Short bowel syndrome ?,53.464394,-10.719802,contact_medical_professional,2,2,134
What is (are) Roseola ?,-44.774586,33.940742,information,6,4,135
What causes Roseola ?,-44.774586,33.94074,causes,0,4,135
What are the symptoms of Roseola ?,-44.774586,33.940742,symptoms,10,4,135
How to diagnose Roseola ?,-44.774582,33.940742,exams_tests,3,4,135
What are the treatments for Roseola ?,-44.774582,33.94074,treatment,11,4,135
What are the complications of Roseola ?,-44.774582,33.940742,complications,1,4,135
Do I need to see a doctor for Roseola ?,-44.774582,33.940742,contact_medical_professional,2,4,135
How to prevent Roseola ?,-44.774586,33.940742,prevention,9,4,135
What is (are) How to care for pressure sores ?,-35.204285,-0.4950477,information,6,3,0
What causes How to care for pressure sores ?,-35.204292,-0.4950477,causes,0,3,0
What are the symptoms of How to care for pressure sores ?,-35.20429,-0.49504772,symptoms,10,3,0
Do I need to see a doctor for How to care for pressure sores ?,-35.20429,-0.4950477,contact_medical_professional,2,3,0
What is (are) Epilepsy - what to ask your doctor - child ?,-2.8196986,-1.0477974,information,6,0,0
What is (are) Leydig cell tumor ?,46.2475,33.728172,information,6,1,136
What causes Leydig cell tumor ?,46.247517,33.728207,causes,0,1,136
What are the symptoms of Leydig cell tumor ?,46.247513,33.728195,symptoms,10,1,136
How to diagnose Leydig cell tumor ?,46.247517,33.728207,exams_tests,3,1,136
What are the treatments for Leydig cell tumor ?,46.247517,33.7282,treatment,11,1,136
What is the outlook for Leydig cell tumor ?,46.247517,33.728203,outlook,8,1,136
What are the complications of Leydig cell tumor ?,46.24762,33.72845,complications,1,1,136
Do I need to see a doctor for Leydig cell tumor ?,46.2475,33.728176,contact_medical_professional,2,1,136
How to prevent Leydig cell tumor ?,46.24762,33.728447,prevention,9,1,136
What is (are) Dilated cardiomyopathy ?,15.56203,34.525227,information,6,1,137
What causes Dilated cardiomyopathy ?,15.55451,34.527054,causes,0,1,137
What are the symptoms of Dilated cardiomyopathy ?,15.560552,34.52559,symptoms,10,1,137
How to diagnose Dilated cardiomyopathy ?,15.554597,34.52718,exams_tests,3,1,137
What are the treatments for Dilated cardiomyopathy ?,15.555743,34.526653,treatment,11,1,137
What is the outlook for Dilated cardiomyopathy ?,15.554596,34.527176,outlook,8,1,137
Do I need to see a doctor for Dilated cardiomyopathy ?,15.5545635,34.527187,contact_medical_professional,2,1,137
What is (are) Stuffy or runny nose - children ?,25.091158,-4.3894844,information,6,0,0
What causes Stuffy or runny nose - children ?,25.09116,-4.389484,causes,0,0,0
Do I need to see a doctor for Stuffy or runny nose - children ?,25.091166,-4.389483,contact_medical_professional,2,0,0
What is the outlook for Stuffy or runny nose - children ?,25.091162,-4.3894835,outlook,8,0,0
Do you have information about Head CT scan,100.62884,-23.904272,information,6,2,-1
Do you have information about Inguinal hernia repair,14.099928,92.16843,information,6,1,-1
What is (are) Familial lipoprotein lipase deficiency ?,19.096575,81.49844,information,6,1,138
What causes Familial lipoprotein lipase deficiency ?,19.097944,81.49858,causes,0,1,138
What are the symptoms of Familial lipoprotein lipase deficiency ?,19.096684,81.49841,symptoms,10,1,138
How to diagnose Familial lipoprotein lipase deficiency ?,19.097668,81.49852,exams_tests,3,1,138
What are the treatments for Familial lipoprotein lipase deficiency ?,19.096455,81.49836,treatment,11,1,138
What is the outlook for Familial lipoprotein lipase deficiency ?,19.09912,81.498886,outlook,8,1,138
What are the complications of Familial lipoprotein lipase deficiency ?,19.09913,81.49888,complications,1,1,138
Do I need to see a doctor for Familial lipoprotein lipase deficiency ?,19.108078,81.50224,contact_medical_professional,2,1,138
How to prevent Familial lipoprotein lipase deficiency ?,19.096579,81.49844,prevention,9,1,138
What is (are) Hyperventilation ?,-28.595798,-3.3342633,information,6,0,0
What causes Hyperventilation ?,-28.5958,-3.3342633,causes,0,0,0
Do I need to see a doctor for Hyperventilation ?,-28.595797,-3.3342633,contact_medical_professional,2,0,0
What is the outlook for Hyperventilation ?,-28.595798,-3.3342633,outlook,8,0,0
What is (are) Liver spots ?,45.106777,17.626667,information,6,2,139
What causes Liver spots ?,45.106777,17.626667,causes,0,2,139
What are the symptoms of Liver spots ?,45.10678,17.626667,symptoms,10,2,139
How to diagnose Liver spots ?,45.10678,17.626667,exams_tests,3,2,139
What are the treatments for Liver spots ?,45.106777,17.626667,treatment,11,2,139
What is the outlook for Liver spots ?,45.10678,17.626665,outlook,8,2,139
Do I need to see a doctor for Liver spots ?,45.10678,17.626669,contact_medical_professional,2,2,139
How to prevent Liver spots ?,45.10678,17.626665,prevention,9,2,139
Do you have information about Pantothenic acid and biotin,8.849961,-10.581255,information,6,0,0
Do you have information about Timing of breastfeeding,13.495069,96.3147,information,6,1,-1
What is (are) Idiopathic hypercalciuria ?,-0.08616401,-0.4408566,information,6,0,0
What is (are) Smallpox ?,-0.35240385,66.96705,information,6,1,140
What causes Smallpox ?,-0.35240385,66.96704,causes,0,1,140
What are the symptoms of Smallpox ?,-0.35240385,66.96704,symptoms,10,1,140
How to diagnose Smallpox ?,-0.35240388,66.96704,exams_tests,3,1,140
What are the treatments for Smallpox ?,-0.35240388,66.96704,treatment,11,1,140
What is the outlook for Smallpox ?,-0.35240388,66.96704,outlook,8,1,140
What are the complications of Smallpox ?,-0.35240388,66.96704,complications,1,1,140
Do I need to see a doctor for Smallpox ?,-0.35240388,66.96703,contact_medical_professional,2,1,140
How to prevent Smallpox ?,-0.35240388,66.96704,prevention,9,1,140
What is (are) Ribcage pain ?,-18.984034,-18.817122,information,6,0,0
What causes Ribcage pain ?,-18.984062,-18.815556,causes,0,0,0
Do I need to see a doctor for Ribcage pain ?,-18.984062,-18.815552,contact_medical_professional,2,0,0
What is the outlook for Ribcage pain ?,-18.984062,-18.815556,outlook,8,0,0
What is (are) Aortic dissection ?,35.162777,-85.913635,information,6,5,141
What causes Aortic dissection ?,35.16278,-85.91363,causes,0,5,141
What are the symptoms of Aortic dissection ?,35.162167,-85.9119,symptoms,10,5,141
How to diagnose Aortic dissection ?,35.16278,-85.91363,exams_tests,3,5,141
What are the treatments for Aortic dissection ?,35.162777,-85.913635,treatment,11,5,141
What is the outlook for Aortic dissection ?,35.16278,-85.91363,outlook,8,5,141
What are the complications of Aortic dissection ?,35.162773,-85.913635,complications,1,5,141
Do I need to see a doctor for Aortic dissection ?,35.16278,-85.91362,contact_medical_professional,2,5,141
How to prevent Aortic dissection ?,35.162777,-85.913635,prevention,9,5,141
Do you have information about Intravenous pyelogram,-11.852755,-2.0068574,information,6,0,0
What is (are) Headache ?,-44.770473,3.9168835,information,6,4,142
What causes Headache ?,-44.77047,3.9168835,causes,0,4,142
Do I need to see a doctor for Headache ?,-44.770477,3.9168837,contact_medical_professional,2,4,142
What is the outlook for Headache ?,-44.77047,3.9168837,outlook,8,4,142
Do you have information about Food safety,-8.436164,-9.356857,information,6,0,0
Do you have information about Routine sputum culture,58.123653,77.549194,information,6,1,-1
Do you have information about Episiotomy - aftercare,-1.1406958,-2.9571083,information,6,0,0
Do you have information about Vancomycin-resistant enterococci,-0.8863043,-3.8257337,information,6,0,0
What is (are) SVC obstruction ?,-39.27708,66.12421,information,6,4,143
What causes SVC obstruction ?,-39.27708,66.1242,causes,0,4,143
What are the symptoms of SVC obstruction ?,-39.27708,66.124214,symptoms,10,4,143
How to diagnose SVC obstruction ?,-39.27708,66.1242,exams_tests,3,4,143
What are the treatments for SVC obstruction ?,-39.27708,66.124214,treatment,11,4,143
What is the outlook for SVC obstruction ?,-39.27708,66.1242,outlook,8,4,143
What are the complications of SVC obstruction ?,-39.277084,66.1242,complications,1,4,143
Do I need to see a doctor for SVC obstruction ?,-39.277084,66.12421,contact_medical_professional,2,4,143
How to prevent SVC obstruction ?,-39.27708,66.1242,prevention,9,4,143
Do you have information about Immunoelectrophoresis - blood,73.9672,44.85856,information,6,2,-1
What is (are) Hives ?,42.446224,42.35002,information,6,1,144
What causes Hives ?,42.44622,42.35002,causes,0,1,144
What are the symptoms of Hives ?,42.446224,42.35002,symptoms,10,1,144
How to diagnose Hives ?,42.44622,42.35002,exams_tests,3,1,144
What are the treatments for Hives ?,42.446224,42.35002,treatment,11,1,144
What is the outlook for Hives ?,42.446224,42.35002,outlook,8,1,144
What are the complications of Hives ?,42.446224,42.35002,complications,1,1,144
Do I need to see a doctor for Hives ?,42.44622,42.35002,contact_medical_professional,2,1,144
How to prevent Hives ?,42.44622,42.35002,prevention,9,1,144
Do you have information about Jerusalem cherry poisoning,1.6187989,6.7203593,information,6,0,0
Do you have information about Laser surgery - skin,-3.7674975,-4.526775,information,6,0,0
Do you have information about Osteotomy of the knee,3.9342732,4.2059937,information,6,0,0
What is (are) Lacerations - liquid bandage ?,11.040484,8.445181,information,6,0,0
Do I need to see a doctor for Lacerations - liquid bandage ?,11.040484,8.445182,contact_medical_professional,2,0,0
Do you have information about Hearing loss - infants,43.763004,85.23778,information,6,1,-1
What is (are) Truncus arteriosus ?,-63.73259,44.123814,information,6,4,145
What causes Truncus arteriosus ?,-63.732586,44.123814,causes,0,4,145
What are the symptoms of Truncus arteriosus ?,-63.732586,44.12381,symptoms,10,4,145
How to diagnose Truncus arteriosus ?,-63.73259,44.12381,exams_tests,3,4,145
What are the treatments for Truncus arteriosus ?,-63.732586,44.123814,treatment,11,4,145
What is the outlook for Truncus arteriosus ?,-63.73259,44.12381,outlook,8,4,145
What are the complications of Truncus arteriosus ?,-63.73259,44.12381,complications,1,4,145
Do I need to see a doctor for Truncus arteriosus ?,-63.732586,44.123814,contact_medical_professional,2,4,145
How to prevent Truncus arteriosus ?,-63.73259,44.12381,prevention,9,4,145
Do you have information about Wrist arthroscopy,8.240315,-8.090202,information,6,0,0
Do you have information about Wine and heart health,-1.1939957,-1.5844167,information,6,0,0
What is (are) Schizoid personality disorder ?,33.588684,-30.47527,information,6,5,-1
What causes Schizoid personality disorder ?,33.588684,-30.475267,causes,0,5,-1
What are the symptoms of Schizoid personality disorder ?,33.588688,-30.47527,symptoms,10,5,-1
How to diagnose Schizoid personality disorder ?,33.588688,-30.47527,exams_tests,3,5,-1
What are the treatments for Schizoid personality disorder ?,33.588684,-30.47527,treatment,11,5,-1
What is the outlook for Schizoid personality disorder ?,33.588684,-30.475267,outlook,8,5,-1
What is (are) Hereditary ovalocytosis ?,39.63296,-10.756394,information,6,2,-1
What causes Hereditary ovalocytosis ?,39.633,-10.755448,causes,0,2,-1
What are the symptoms of Hereditary ovalocytosis ?,39.632927,-10.756013,symptoms,10,2,-1
How to diagnose Hereditary ovalocytosis ?,39.633205,-10.755992,exams_tests,3,2,-1
What are the treatments for Hereditary ovalocytosis ?,39.63294,-10.756367,treatment,11,2,-1
What are the complications of Hereditary ovalocytosis ?,39.63296,-10.756399,complications,1,2,-1
What is the outlook for Hypothyroidism ?,-22.376266,4.4097443,outlook,8,0,0
What are the complications of Hypothyroidism ?,-22.376266,4.4097443,complications,1,0,0
Do I need to see a doctor for Hypothyroidism ?,-22.376266,4.4097443,contact_medical_professional,2,0,0
Do you have information about Skilled nursing and rehabilitation facilities - choosing,9.848358,2.3813453,information,6,0,0
Do you have information about E-cigarettes and E-hookahs,-7.165089,7.4430194,information,6,0,0
What is (are) Diaphragmatic hernia ?,-45.55729,57.424934,information,6,4,146
What causes Diaphragmatic hernia ?,-45.557285,57.424934,causes,0,4,146
What are the symptoms of Diaphragmatic hernia ?,-45.557285,57.424934,symptoms,10,4,146
How to diagnose Diaphragmatic hernia ?,-45.55729,57.42494,exams_tests,3,4,146
What are the treatments for Diaphragmatic hernia ?,-45.557285,57.424934,treatment,11,4,146
What is the outlook for Diaphragmatic hernia ?,-45.557285,57.42494,outlook,8,4,146
What are the complications of Diaphragmatic hernia ?,-45.557285,57.424934,complications,1,4,146
Do I need to see a doctor for Diaphragmatic hernia ?,-45.55729,57.42494,contact_medical_professional,2,4,146
How to prevent Diaphragmatic hernia ?,-45.55729,57.424934,prevention,9,4,146
What is (are) Grass and weed killer poisoning ?,-12.842171,-14.9396,information,6,0,0
What are the symptoms of Grass and weed killer poisoning ?,-12.842171,-14.939601,symptoms,10,0,0
What is the outlook for Grass and weed killer poisoning ?,-12.842171,-14.9396,outlook,8,0,0
What is (are) Promethazine overdose ?,-26.705803,-3.8496845,information,6,0,0
What are the symptoms of Promethazine overdose ?,-26.705807,-3.8496842,symptoms,10,0,0
What is the outlook for Promethazine overdose ?,-26.705807,-3.8496845,outlook,8,0,0
Do you have information about Robotic surgery,62.146614,78.97613,information,6,1,-1
What is (are) Human bites - self-care ?,19.784187,-53.455833,information,6,5,-1
What causes Human bites - self-care ?,19.784187,-53.45583,causes,0,5,-1
What are the symptoms of Human bites - self-care ?,19.784187,-53.455833,symptoms,10,5,-1
What are the complications of Human bites - self-care ?,19.784187,-53.455837,complications,1,5,-1
How to prevent Human bites - self-care ?,19.784187,-53.455833,prevention,9,5,-1
Do I need to see a doctor for Human bites - self-care ?,19.784185,-53.455837,contact_medical_professional,2,5,-1
What is (are) Sugar-water hemolysis test ?,-1.4552594,-4.771873,information,6,0,0
Do you have information about Prolactin blood test,-14.263922,-15.822872,information,6,0,0
Do you have information about Transjugular intrahepatic portosystemic shunt (TIPS),94.21471,13.625273,information,6,2,-1
What is (are) Adhesion ?,-6.349746,47.015636,information,6,1,147
What causes Adhesion ?,-6.3497453,47.015636,causes,0,1,147
What are the symptoms of Adhesion ?,-6.3497458,47.015636,symptoms,10,1,147
How to diagnose Adhesion ?,-6.3497458,47.015636,exams_tests,3,1,147
What are the treatments for Adhesion ?,-6.3497458,47.015636,treatment,11,1,147
What is the outlook for Adhesion ?,-6.3497458,47.01564,outlook,8,1,147
What are the complications of Adhesion ?,-6.3497458,47.015636,complications,1,1,147
Do I need to see a doctor for Adhesion ?,-6.3497458,47.015636,contact_medical_professional,2,1,147
What is (are) Krabbe disease ?,50.02354,14.372039,information,6,2,148
What causes Krabbe disease ?,50.023544,14.372039,causes,0,2,148
What are the symptoms of Krabbe disease ?,50.02354,14.372039,symptoms,10,2,148
How to diagnose Krabbe disease ?,50.023544,14.37204,exams_tests,3,2,148
What are the treatments for Krabbe disease ?,50.023544,14.37204,treatment,11,2,148
What is the outlook for Krabbe disease ?,50.023537,14.372039,outlook,8,2,148
What are the complications of Krabbe disease ?,50.023544,14.37204,complications,1,2,148
Do I need to see a doctor for Krabbe disease ?,50.023544,14.37204,contact_medical_professional,2,2,148
How to prevent Krabbe disease ?,50.023544,14.372039,prevention,9,2,148
What is (are) Lead poisoning ?,-43.337563,-13.827635,information,6,3,149
What are the symptoms of Lead poisoning ?,-43.337566,-13.827634,symptoms,10,3,149
What is the outlook for Lead poisoning ?,-43.33756,-13.827636,outlook,8,3,149
Do you have information about Transurethral resection of the prostate - discharge,-12.630179,2.283343,information,6,0,0
What is (are) Dry socket ?,1.5072536,-48.509125,information,6,5,-1
What are the symptoms of Dry socket ?,1.5072536,-48.509117,symptoms,10,5,-1
What are the treatments for Dry socket ?,1.5072536,-48.509125,treatment,11,5,-1
How to prevent Dry socket ?,1.5072536,-48.509125,prevention,9,5,-1
Do I need to see a doctor for Dry socket ?,1.5072536,-48.509125,contact_medical_professional,2,5,-1
What is (are) Language disorder - children ?,51.388817,-26.450752,information,6,2,150
What causes Language disorder - children ?,51.38882,-26.45075,causes,0,2,150
What are the symptoms of Language disorder - children ?,51.388813,-26.45075,symptoms,10,2,150
How to diagnose Language disorder - children ?,51.388817,-26.450752,exams_tests,3,2,150
What are the treatments for Language disorder - children ?,51.388817,-26.450752,treatment,11,2,150
What is the outlook for Language disorder - children ?,51.388817,-26.45075,outlook,8,2,150
What are the complications of Language disorder - children ?,51.388813,-26.45075,complications,1,2,150
Do I need to see a doctor for Language disorder - children ?,51.38882,-26.450752,contact_medical_professional,2,2,150
Do you have information about Changes in the newborn at birth,-2.7734005,-5.040164,information,6,0,0
What is (are) Gonococcal arthritis ?,-49.418457,45.583057,information,6,4,151
What causes Gonococcal arthritis ?,-49.418457,45.583057,causes,0,4,151
What are the symptoms of Gonococcal arthritis ?,-49.418457,45.58306,symptoms,10,4,151
How to diagnose Gonococcal arthritis ?,-49.418453,45.583054,exams_tests,3,4,151
What are the treatments for Gonococcal arthritis ?,-49.41846,45.583057,treatment,11,4,151
What is the outlook for Gonococcal arthritis ?,-49.418457,45.583054,outlook,8,4,151
What are the complications of Gonococcal arthritis ?,-49.418457,45.583057,complications,1,4,151
Do I need to see a doctor for Gonococcal arthritis ?,-49.418453,45.583057,contact_medical_professional,2,4,151
How to prevent Gonococcal arthritis ?,-49.418457,45.583054,prevention,9,4,151
What is (are) Lymphadenitis ?,54.368546,48.486023,information,6,1,152
What causes Lymphadenitis ?,54.368546,48.48602,causes,0,1,152
What are the symptoms of Lymphadenitis ?,54.368546,48.486023,symptoms,10,1,152
How to diagnose Lymphadenitis ?,54.368546,48.486023,exams_tests,3,1,152
What are the treatments for Lymphadenitis ?,54.368546,48.486023,treatment,11,1,152
What is the outlook for Lymphadenitis ?,54.36855,48.48602,outlook,8,1,152
What are the complications of Lymphadenitis ?,54.368546,48.486027,complications,1,1,152
Do I need to see a doctor for Lymphadenitis ?,54.368546,48.48602,contact_medical_professional,2,1,152
How to prevent Lymphadenitis ?,54.36855,48.486023,prevention,9,1,152
What is (are) Mittelschmerz ?,-41.860867,58.521027,information,6,4,153
What causes Mittelschmerz ?,-41.860867,58.521027,causes,0,4,153
What are the symptoms of Mittelschmerz ?,-41.860867,58.521027,symptoms,10,4,153
How to diagnose Mittelschmerz ?,-41.860863,58.521023,exams_tests,3,4,153
What are the treatments for Mittelschmerz ?,-41.860867,58.521027,treatment,11,4,153
What is the outlook for Mittelschmerz ?,-41.860863,58.52103,outlook,8,4,153
What are the complications of Mittelschmerz ?,-41.860867,58.521027,complications,1,4,153
Do I need to see a doctor for Mittelschmerz ?,-41.860867,58.52103,contact_medical_professional,2,4,153
How to prevent Mittelschmerz ?,-41.860867,58.521027,prevention,9,4,153
What is (are) Tolmetin overdose ?,-14.274904,-20.202969,information,6,0,0
What are the symptoms of Tolmetin overdose ?,-14.274904,-20.202967,symptoms,10,0,0
What is the outlook for Tolmetin overdose ?,-14.274904,-20.202967,outlook,8,0,0
Do you have information about Sodium urine test,1.5894446,4.1986313,information,6,0,0
What is (are) Low back pain - acute ?,49.64718,-57.18118,information,6,5,154
What causes Low back pain - acute ?,49.64718,-57.18118,causes,0,5,154
What are the symptoms of Low back pain - acute ?,49.64718,-57.18118,symptoms,10,5,154
How to diagnose Low back pain - acute ?,49.64718,-57.18118,exams_tests,3,5,154
What are the treatments for Low back pain - acute ?,49.64718,-57.18118,treatment,11,5,154
What is the outlook for Low back pain - acute ?,49.64718,-57.18118,outlook,8,5,154
Do I need to see a doctor for Low back pain - acute ?,49.64718,-57.18118,contact_medical_professional,2,5,154
How to prevent Low back pain - acute ?,49.64718,-57.18118,prevention,9,5,154
What is (are) Cryotherapy for prostate cancer ?,14.334401,1.5939639,information,6,0,0
What are the treatments for Cryotherapy for prostate cancer ?,14.3344,1.5939639,treatment,11,0,0
What is (are) Warts ?,42.45815,8.364635,information,6,2,155
What causes Warts ?,42.45815,8.364635,causes,0,2,155
What are the symptoms of Warts ?,42.458153,8.364635,symptoms,10,2,155
How to diagnose Warts ?,42.45815,8.3646345,exams_tests,3,2,155
What are the treatments for Warts ?,42.45815,8.364635,treatment,11,2,155
What is the outlook for Warts ?,42.45815,8.364635,outlook,8,2,155
Do I need to see a doctor for Warts ?,42.45815,8.364635,contact_medical_professional,2,2,155
How to prevent Warts ?,42.45815,8.364636,prevention,9,2,155
What is (are) Low nasal bridge ?,-40.112717,7.5836134,information,6,4,-1
What causes Low nasal bridge ?,-40.112724,7.5836134,causes,0,4,-1
Do I need to see a doctor for Low nasal bridge ?,-40.112724,7.5836143,contact_medical_professional,2,4,-1
What is the outlook for Low nasal bridge ?,-40.112717,7.5836134,outlook,8,4,-1
Do you have information about Phosphorus blood test,7.7545085,-1.3577089,information,6,0,0
Do you have information about Breast self-exam,-3.939443,-2.417839,information,6,0,0
What is (are) Sweat electrolytes test ?,6.1729894,4.19822,information,6,0,0
Do you have information about Dental sealants,88.44355,54.822674,information,6,2,-1
What is (are) Herniated disk ?,83.69895,-7.4530606,information,6,2,156
What causes Herniated disk ?,83.69926,-7.4530764,causes,0,2,156
What are the symptoms of Herniated disk ?,83.69913,-7.4530697,symptoms,10,2,156
How to diagnose Herniated disk ?,83.69933,-7.45308,exams_tests,3,2,156
What are the treatments for Herniated disk ?,83.699165,-7.4530716,treatment,11,2,156
What is the outlook for Herniated disk ?,83.69931,-7.453079,outlook,8,2,156
What are the complications of Herniated disk ?,83.69955,-7.45309,complications,1,2,156
Do I need to see a doctor for Herniated disk ?,83.70004,-7.4531155,contact_medical_professional,2,2,156
How to prevent Herniated disk ?,83.69956,-7.4530907,prevention,9,2,156
Do you have information about Thyroid gland removal,0.6346814,7.242962,information,6,0,0
What is (are) Elbow replacement - discharge ?,-17.64296,6.3312182,information,6,0,0
What is the outlook for Elbow replacement - discharge ?,-17.642962,6.3312182,outlook,8,0,0
Do I need to see a doctor for Elbow replacement - discharge ?,-17.64296,6.3312187,contact_medical_professional,2,0,0
What is (are) Kaposi sarcoma ?,-1.3855231,-2.0038128,information,6,0,0
What causes Kaposi sarcoma ?,-1.3853368,-2.0038073,causes,0,0,0
